141.11.96.114:2053#CDG | Paris
141.11.96.114:8443#CDG | Paris
142.132.163.76:2052#CDG | Paris
143.42.17.72:2083#CDG | Paris
165.227.140.34:8443#CDG | Paris
172.232.56.73:2083#CDG | Paris
185.87.150.172:2053#CDG | Paris
185.87.150.172:8443#CDG | Paris
193.151.148.35:80#CDG | Paris
193.187.174.72:2053#CDG | Paris
193.187.174.72:8443#CDG | Paris
209.38.188.41:8443#CDG | Paris
49.13.53.182:2096#CDG | Paris
49.13.6.32:2087#CDG | Paris
5.135.8.198:8880#CDG | Paris
5.75.208.215:2053#CDG | Paris
5.75.214.54:2096#CDG | Paris
5.75.220.133:2082#CDG | Paris
5.75.220.90:2052#CDG | Paris
51.254.147.81:2053#CDG | Paris
51.254.147.81:2083#CDG | Paris
51.254.147.81:2087#CDG | Paris
51.254.147.81:2096#CDG | Paris
91.107.186.243:2083#CDG | Paris
91.107.206.215:2083#CDG | Paris
