13.211.35.154:80#SYD | Sydney
13.54.77.220:80#SYD | Sydney
170.64.161.80:8443#SYD | Sydney
170.64.228.44:8443#SYD | Sydney
20.167.48.9:8443#SYD | Sydney
203.57.51.179:8443#SYD | Sydney
3.105.5.80:80#SYD | Sydney
3.105.5.82:80#SYD | Sydney
3.105.5.84:80#SYD | Sydney
3.107.41.155:80#SYD | Sydney
3.107.5.195:80#SYD | Sydney
3.25.212.106:80#SYD | Sydney
38.180.128.251:2053#SYD | Sydney
54.206.86.127:80#SYD | Sydney
54.252.190.112:80#SYD | Sydney
54.253.75.66:80#SYD | Sydney
54.79.110.129:80#SYD | Sydney
