130.162.247.219:443#EWR | Newark
141.147.90.96:443#EWR | Newark
141.148.242.155:443#EWR | Newark
144.21.36.77:443#EWR | Newark
144.21.51.247:443#EWR | Newark
144.21.52.36:443#EWR | Newark
144.24.177.206:443#EWR | Newark
152.70.56.49:443#EWR | Newark
193.123.60.59:443#EWR | Newark
34.107.43.137:443#EWR | Newark
34.118.112.163:443#EWR | Newark
34.118.90.226:443#EWR | Newark
34.118.92.155:443#EWR | Newark
34.118.95.31:443#EWR | Newark
34.147.53.185:443#EWR | Newark
34.32.208.89:443#EWR | Newark
34.65.101.209:443#EWR | Newark
34.65.204.207:443#EWR | Newark
84.235.163.153:443#EWR | Newark
89.168.118.93:443#EWR | Newark
89.168.99.39:443#EWR | Newark
