104.155.53.64:80#CDG | Paris
13.36.162.145:2082#CDG | Paris
13.36.173.116:8443#CDG | Paris
13.36.2.166:2053#CDG | Paris
13.36.230.17:8443#CDG | Paris
13.36.253.240:2083#CDG | Paris
13.37.240.130:8443#CDG | Paris
13.38.53.164:8443#CDG | Paris
13.38.65.162:80#CDG | Paris
139.185.41.192:80#CDG | Paris
141.145.205.115:8443#CDG | Paris
141.145.206.16:8443#CDG | Paris
15.188.168.174:2053#CDG | Paris
15.188.168.174:2086#CDG | Paris
15.188.220.75:80#CDG | Paris
15.188.35.208:2052#CDG | Paris
15.236.246.254:80#CDG | Paris
158.178.193.75:80#CDG | Paris
16.62.128.117:2053#CDG | Paris
16.62.128.117:8443#CDG | Paris
193.123.68.71:80#CDG | Paris
20.203.143.112:2052#CDG | Paris
20.203.143.112:2087#CDG | Paris
20.203.143.112:2095#CDG | Paris
20.203.143.114:2082#CDG | Paris
20.203.143.114:2087#CDG | Paris
20.203.143.114:2095#CDG | Paris
20.203.143.117:2052#CDG | Paris
34.140.239.154:2052#CDG | Paris
34.140.239.154:2053#CDG | Paris
34.140.239.154:2082#CDG | Paris
34.140.239.154:2083#CDG | Paris
34.140.239.154:2086#CDG | Paris
34.140.239.154:2087#CDG | Paris
34.140.239.154:2095#CDG | Paris
34.140.239.154:2096#CDG | Paris
34.140.33.236:80#CDG | Paris
34.163.47.127:80#CDG | Paris
34.22.194.111:8080#CDG | Paris
34.77.233.91:80#CDG | Paris
35.187.41.171:2083#CDG | Paris
35.187.41.171:2087#CDG | Paris
35.240.116.140:80#CDG | Paris
40.66.63.160:80#CDG | Paris
89.168.37.47:80#CDG | Paris
89.168.45.147:80#CDG | Paris
89.168.60.62:80#CDG | Paris
