13.124.120.105:2087#ICN | Seoul
13.124.227.252:80#ICN | Seoul
13.124.44.168:80#ICN | Seoul
13.124.84.31:80#ICN | Seoul
13.125.199.5:80#ICN | Seoul
131.186.27.112:2096#ICN | Seoul
132.145.91.117:80#ICN | Seoul
138.2.112.229:80#ICN | Seoul
138.2.114.218:80#ICN | Seoul
138.2.116.112:8080#ICN | Seoul
138.2.120.207:80#ICN | Seoul
138.2.122.207:80#ICN | Seoul
140.238.8.180:8080#ICN | Seoul
140.238.8.243:8080#ICN | Seoul
144.24.85.158:80#ICN | Seoul
144.24.87.205:80#ICN | Seoul
146.56.151.87:2087#ICN | Seoul
146.56.178.88:80#ICN | Seoul
146.56.46.54:80#ICN | Seoul
15.165.63.136:2052#ICN | Seoul
15.165.63.136:2053#ICN | Seoul
152.67.211.182:80#ICN | Seoul
152.67.214.11:80#ICN | Seoul
152.67.221.236:80#ICN | Seoul
152.70.255.150:80#ICN | Seoul
158.179.169.254:8080#ICN | Seoul
158.179.175.40:8080#ICN | Seoul
193.122.117.38:8080#ICN | Seoul
193.122.125.174:2053#ICN | Seoul
64.110.88.200:8443#ICN | Seoul
64.110.91.3:8443#ICN | Seoul
8.213.132.108:8080#ICN | Seoul
8.213.137.133:80#ICN | Seoul
8.213.144.82:80#ICN | Seoul
8.213.147.111:80#ICN | Seoul
8.213.156.108:80#ICN | Seoul
