13.211.0.227:2052#SYD | Sydney
13.211.0.227:2053#SYD | Sydney
13.211.0.227:2083#SYD | Sydney
13.211.0.227:2086#SYD | Sydney
13.211.0.227:2087#SYD | Sydney
13.211.213.134:80#SYD | Sydney
13.236.186.224:80#SYD | Sydney
13.237.94.188:2053#SYD | Sydney
13.237.94.188:2082#SYD | Sydney
13.237.94.188:2083#SYD | Sydney
13.237.94.188:2087#SYD | Sydney
13.237.94.188:2095#SYD | Sydney
13.238.235.196:2052#SYD | Sydney
13.238.235.196:2053#SYD | Sydney
13.238.235.196:2082#SYD | Sydney
13.238.235.196:2083#SYD | Sydney
13.238.235.196:2086#SYD | Sydney
13.238.235.196:2087#SYD | Sydney
13.238.235.196:2095#SYD | Sydney
13.55.20.222:80#SYD | Sydney
140.238.207.22:80#SYD | Sydney
152.69.160.167:80#SYD | Sydney
192.9.186.2:80#SYD | Sydney
20.213.13.247:80#SYD | Sydney
20.37.207.8:8080#SYD | Sydney
20.70.120.90:80#SYD | Sydney
20.92.32.172:80#SYD | Sydney
