1.232.40.93:39460#KIX | Osaka
101.36.118.159:9988#HKG | Hong Kong
103.137.63.37:46832#HKG | Hong Kong
104.168.94.121:12417#SJC | San Jose
107.174.241.220:3443#SEA | Seattle
110.11.25.32:10488#KIX | Osaka
110.11.25.32:10517#NRT | Tokyo
110.11.25.32:10602#NRT | Tokyo
110.13.212.97:20880#CHU | Chungcheong
112.168.91.60:18888#FUK | Fukuoka
118.163.128.81:17333#KHH | Kaohsiung
118.216.16.203:10025#CHU | Chungcheong
124.111.188.119:19091#KIX | Osaka
124.111.188.119:30175#NRT | Tokyo
124.50.116.202:36831#LAX | Los Angeles
129.154.198.58:46452#LAX | Los Angeles
129.154.212.181:20309#NRT | Tokyo
129.154.212.181:44699#NRT | Tokyo
132.145.83.155:33799#CHU | Chungcheong
138.2.77.96:41002#SIN | Singapore
14.33.4.254:12185#CHU | Chungcheong
14.54.63.38:50030#CHU | Chungcheong
140.238.26.92:20855#LAX | Los Angeles
142.171.174.14:12468#LAX | Los Angeles
146.19.247.66:28443#FRA | Frankfurt
146.56.136.49:61153#LAX | Los Angeles
146.56.157.81:34237#CHU | Chungcheong
146.56.177.67:61153#HKG | Hong Kong
147.78.243.164:57391#NRT | Tokyo
15.204.67.30:51#PDX | Portland
154.17.28.199:8001#LAX | Los Angeles
168.138.191.71:14978#SIN | Singapore
175.121.23.104:38422#KIX | Osaka
175.125.207.253:33060#CHU | Chungcheong
176.119.148.109:23656#NRT | Tokyo
176.119.150.204:2008#NRT | Tokyo
176.97.64.95:8420#SIN | Singapore
176.97.73.99:8420#NRT | Tokyo
176.97.76.151:28443#OTP | Bucharest
176.97.76.216:28443#OTP | Bucharest
176.97.76.219:28443#OTP | Bucharest
176.97.76.234:28443#OTP | Bucharest
176.97.77.12:3283#FRA | Frankfurt
180.70.218.108:10411#CHU | Chungcheong
182.226.9.83:50028#CHU | Chungcheong
185.254.97.80:2056#FRA | Frankfurt
185.82.218.224:9443#OTP | Bucharest
193.111.31.133:50896#NRT | Tokyo
193.122.110.164:25800#LAX | Los Angeles
193.122.122.16:40377#HKG | Hong Kong
198.46.151.62:3443#ATL | Atlanta
20.6.32.20:4431#SIN | Singapore
202.39.212.181:28731#KHH | Kaohsiung
202.81.231.30:55576#HKG | Hong Kong
211.179.182.92:20202#NRT | Tokyo
211.22.240.107:30686#KHH | Kaohsiung
211.246.192.9:10051#LAX | Los Angeles
211.44.160.106:10096#CHU | Chungcheong
211.52.190.145:10548#CHU | Chungcheong
211.63.50.135:19006#NRT | Tokyo
211.63.50.135:26103#LAX | Los Angeles
211.63.50.135:28627#NRT | Tokyo
211.75.74.232:4443#LAX | Los Angeles
218.204.179.53:50394#SIN | Singapore
218.54.154.5:11423#KIX | Osaka
218.54.200.63:30048#CHU | Chungcheong
219.240.54.189:10434#CHU | Chungcheong
222.100.17.81:12570#ICN | Seoul
222.233.248.165:38344#NRT | Tokyo
23.94.5.210:3443#EWR | Newark
23.95.189.165:3443#EWR | Newark
36.39.115.188:26763#LAX | Los Angeles
36.39.115.188:28860#LAX | Los Angeles
38.180.30.6:8420#LHR | London
38.180.33.187:34237#MAD | Madrid
39.126.158.244:27288#CHU | Chungcheong
43.128.110.33:34237#SIN | Singapore
43.134.166.213:10444#SIN | Singapore
43.154.196.20:65432#HKG | Hong Kong
43.159.35.190:49142#SIN | Singapore
45.136.196.24:28443#MAD | Madrid
45.136.198.37:8420#FRA | Frankfurt
45.136.199.152:28443#OTP | Bucharest
45.136.199.179:28443#OTP | Bucharest
45.136.199.39:28443#OTP | Bucharest
45.136.199.58:28443#OTP | Bucharest
45.136.199.63:28443#OTP | Bucharest
45.251.240.229:34237#KIX | Osaka
45.66.128.148:35963#LAX | Los Angeles
47.128.164.52:9999#SIN | Singapore
47.242.149.43:13380#HKG | Hong Kong
47.75.101.0:3443#HKG | Hong Kong
5.226.48.165:30540#NRT | Tokyo
58.234.19.225:50037#CHU | Chungcheong
58.238.88.129:10106#ICN | Seoul
58.238.88.129:38507#KIX | Osaka
61.220.41.143:36633#TPE | Taipei
64.64.235.135:49121#LAX | Los Angeles
66.42.103.115:6969#LAX | Los Angeles
8.210.13.126:34987#NRT | Tokyo
91.107.133.241:9443#FRA | Frankfurt
