120.78.72.162:80#SIN | Singapore
129.150.63.96:2053#SIN | Singapore
129.150.63.96:2083#SIN | Singapore
129.150.63.96:2087#SIN | Singapore
129.150.63.96:2096#SIN | Singapore
129.150.63.96:8443#SIN | Singapore
131.186.47.223:2083#SIN | Singapore
131.186.47.223:2087#SIN | Singapore
131.186.63.127:2083#SIN | Singapore
132.145.112.168:2083#SIN | Singapore
132.145.112.168:8443#SIN | Singapore
132.145.121.247:2053#SIN | Singapore
132.145.121.247:8443#SIN | Singapore
138.2.104.2:2053#SIN | Singapore
138.2.104.2:2083#SIN | Singapore
138.2.104.2:2087#SIN | Singapore
138.2.104.2:2096#SIN | Singapore
138.2.104.2:8443#SIN | Singapore
138.2.92.11:2053#SIN | Singapore
138.2.92.11:2083#SIN | Singapore
138.2.92.11:2087#SIN | Singapore
138.2.92.11:2096#SIN | Singapore
138.2.92.11:8443#SIN | Singapore
138.3.222.204:2083#SIN | Singapore
140.238.35.195:2053#SIN | Singapore
140.238.35.195:2096#SIN | Singapore
150.230.208.83:2096#SIN | Singapore
150.230.208.83:8443#SIN | Singapore
150.230.214.218:2087#SIN | Singapore
155.248.176.68:2083#SIN | Singapore
158.101.150.74:2096#SIN | Singapore
158.101.152.221:2083#SIN | Singapore
158.178.241.45:2053#SIN | Singapore
158.178.241.45:2083#SIN | Singapore
158.178.241.45:2087#SIN | Singapore
158.178.241.45:2096#SIN | Singapore
158.178.241.45:8443#SIN | Singapore
158.178.242.56:2053#SIN | Singapore
158.178.242.56:2083#SIN | Singapore
158.178.242.56:2087#SIN | Singapore
158.178.242.56:2096#SIN | Singapore
158.178.242.56:8443#SIN | Singapore
158.178.246.169:2053#SIN | Singapore
158.178.246.169:2083#SIN | Singapore
158.178.246.169:2087#SIN | Singapore
158.178.246.169:2096#SIN | Singapore
158.178.246.169:8443#SIN | Singapore
159.223.66.134:80#SIN | Singapore
168.138.161.0:2053#SIN | Singapore
168.138.161.0:2083#SIN | Singapore
168.138.161.0:2087#SIN | Singapore
168.138.161.0:2096#SIN | Singapore
168.138.161.0:8443#SIN | Singapore
168.138.168.57:2053#SIN | Singapore
168.138.168.57:8443#SIN | Singapore
168.138.185.253:2053#SIN | Singapore
168.138.185.253:2083#SIN | Singapore
168.138.185.253:2087#SIN | Singapore
168.138.185.253:2096#SIN | Singapore
168.138.185.253:8443#SIN | Singapore
168.138.185.28:2053#SIN | Singapore
168.138.185.28:2083#SIN | Singapore
168.138.185.28:2087#SIN | Singapore
168.138.185.28:2096#SIN | Singapore
168.138.185.28:8443#SIN | Singapore
168.138.211.131:2096#SIN | Singapore
169.150.243.183:8080#SIN | Singapore
176.97.64.95:2053#SIN | Singapore
212.64.16.17:80#SIN | Singapore
47.236.10.100:2053#SIN | Singapore
