103.44.255.81:443#🇨🇳广州->🇭🇰香港 | AS4816
120.232.218.32:12330#🇨🇳广州->🇭🇰香港 | AS56040
120.232.218.33:12330#🇨🇳广州->🇭🇰香港 | AS56040
120.232.218.36:12330#🇨🇳广州->🇭🇰香港 | AS56040
104.129.164.0:443#🇭🇰香港 | AS209242
104.129.164.255:443#🇭🇰香港 | AS209242
104.129.165.0:443#🇭🇰香港 | AS209242
104.129.165.255:443#🇭🇰香港 | AS209242
104.129.166.255:443#🇭🇰香港 | AS209242
104.129.166.0:443#🇭🇰香港 | AS209242
104.129.167.0:443#🇭🇰香港 | AS209242
104.129.167.255:443#🇭🇰香港 | AS209242
27.50.48.0:443#🇭🇰香港 | AS209242
27.50.49.0:443#🇭🇰香港 | AS209242
27.50.48.255:443#🇭🇰香港 | AS209242
27.50.49.255:443#🇭🇰香港 | AS209242
43.154.34.74:1935#🇭🇰香港 | AS132203
101.36.122.24:19351#🇭🇰香港 | AS135377
165.154.43.92:35184#🇭🇰香港 | AS135377
119.8.238.73:81#🇭🇰香港 | AS136907
18.162.54.0:18443#🇭🇰香港 | AS16509 (AWS)
18.162.246.4:18443#🇭🇰香港 | AS16509 (AWS)
18.166.149.73:18443#🇭🇰香港 | AS16509 (AWS)
43.198.207.3:2055#🇭🇰香港 | AS16509 (AWS)
43.199.119.4:10443#🇭🇰香港 | AS16509 (AWS)
18.162.156.23:12355#🇭🇰香港 | AS16590 (AWS)
8.218.120.79:443#🇭🇰香港 | AS45102 (阿里云)
47.242.172.10:45936#🇭🇰香港 | AS45102 (阿里云)
20.6.159.95:443#🇭🇰香港 | AS8075 (Azure)
61.239.234.5:35500#🇭🇰香港 | AS9269
58.176.229.127:35002#🇭🇰香港 | AS9269
154.194.12.255:443#🇸🇬新加坡 | AS209242
154.194.12.0:443#🇸🇬新加坡 | AS209242
154.219.5.0:443#🇸🇬新加坡 | AS209242
154.219.5.255:443#🇸🇬新加坡 | AS209242
45.8.211.0:443#🇸🇬新加坡 | AS209242
45.8.211.255:443#🇸🇬新加坡 | AS209242
185.126.80.215:25565#🇸🇬新加坡 | AS61112
47.245.123.134:443#🇸🇬新加坡 | AS45102 (阿里云)
139.180.136.178:29661#🇸🇬新加坡 | AS20473
139.180.136.178:29806#🇸🇬新加坡 | AS20473
43.156.116.194:443#🇸🇬新加坡 | AS132203
43.156.253.94:443#🇸🇬新加坡 | AS132203
114.34.202.224:10004#🇹🇼台湾-板桥 | AS3462
59.120.116.28:34333#🇹🇼台湾-高雄 | AS3462
59.120.116.28:34076#🇹🇼台湾-高雄 | AS3462
61.220.65.189:27114#🇹🇼台湾-台北 | AS3462
61.220.65.189:26832#🇹🇼台湾-台北 | AS3462
220.135.202.250:81#🇹🇼台湾-台北 | AS3462
92.243.75.0:443#🇰🇭柬埔寨-金边 | AS209242
92.243.75.255:443#🇰🇭柬埔寨-金边 | AS209242
167.88.182.86:34237#🇯🇵日本-大阪 | AS4785
172.84.92.152:58723#🇯🇵日本-东京 | AS11161
103.20.199.118:12999#🇯🇵日本-东京 | AS147293
103.20.199.101:33004#🇯🇵日本-东京 | AS147293
54.248.121.219:443#🇯🇵日本-东京 | AS16509 (AWS)
52.197.230.94:443#🇯🇵日本-东京 | AS16509 (AWS)
54.199.222.232:443#🇯🇵日本-东京 | AS16509 (AWS)
128.1.18.29:443#🇯🇵日本-东京 | AS21859
5.226.48.165:30540#🇯🇵日本-东京 | AS38136
47.91.18.127:443#🇯🇵日本-东京 | AS45102 (阿里云)
211.237.82.127:30008#🇰🇷韩国-大田 | AS38684
117.123.207.117:50000#🇰🇷韩国-京畿道 | AS17849
27.116.108.61:30012#🇰🇷韩国-全州 | AS17854
121.124.114.17:31277#🇰🇷韩国-仁川 | AS9318
223.222.13.132:30491#🇰🇷韩国-首尔 | AS17849
52.141.25.42:443#🇰🇷韩国-首尔 | AS8075 (Azure)
20.41.104.196:443#🇰🇷韩国-首尔 | AS8075 (Azure)
124.111.208.233:37020#🇰🇷韩国-首尔 | AS9318
103.116.7.0:443#🇺🇸美国-FL-迈阿密 | AS209242
103.116.7.255:443#🇺🇸美国-FL-迈阿密 | AS209242
104.254.140.0:443#🇺🇸美国-CA-帕罗奥图 | AS209242
104.254.140.255:443#🇺🇸美国-CA-帕罗奥图 | AS209242
104.36.195.0:443#🇺🇸美国-CA-旧金山 | AS209242
104.36.195.255:443#🇺🇸美国-CA-旧金山 | AS209242
108.165.216.0:443#🇺🇸美国-UT-奥勒姆 | AS209242
108.165.216.255:443#🇺🇸美国-UT-奥勒姆 | AS209242
155.46.213.0:443#🇺🇸美国-NY-纽约 | AS209242
155.46.213.255:443#🇺🇸美国-NY-纽约 | AS209242
156.225.72.0:443#🇺🇸美国-OR-波特兰 | AS209242
156.225.72.255:443#🇺🇸美国-OR-波特兰 | AS209242
159.246.55.0:443#🇺🇸美国-IN-南本德 | AS209242
159.246.55.255:443#🇺🇸美国-IN-南本德 | AS209242
167.68.11.0:443#🇺🇸美国-MN-伊根 | AS209242
167.68.11.255:443#🇺🇸美国-MN-伊根 | AS209242
185.135.9.0:443#🇺🇸美国-CA-洛杉矶 | AS13335
185.135.9.255:443#🇺🇸美国-CA-洛杉矶 | AS13335
185.186.146.45:61927#🇺🇸美国-CA-洛杉矶 | AS40065
38.49.59.64:53324#🇺🇸美国-CA-洛杉矶 | AS8796
154.201.89.184:38145#🇺🇸美国-CA-洛杉矶 | AS8796
154.23.247.52:443#🇺🇸美国-CA-洛杉矶 | AS8796
206.119.79.138:27784#🇺🇸美国-CA-洛杉矶 | AS8796
38.148.254.137:56134#🇺🇸美国-CA-洛杉矶 | AS8796
154.21.85.62:22353#🇺🇸美国-CA-洛杉矶 | AS906
154.17.25.25:15248#🇺🇸美国-CA-洛杉矶 | AS906
154.21.87.106:22989#🇺🇸美国-CA-洛杉矶 | AS906
154.17.2.126:62729#🇺🇸美国-CA-洛杉矶 | AS906
154.17.237.74:12090#🇺🇸美国-CA-洛杉矶 | AS906
154.17.30.195:54863#🇺🇸美国-CA-洛杉矶 | AS906
154.26.188.34:8443#🇺🇸美国-CA-洛杉矶 | AS906
172.82.16.99:443#🇺🇸美国-CA-圣何塞 | AS398826
38.59.240.180:45441#🇺🇸美国-CA-圣何塞 | AS43178
103.160.204.0:443#🇦🇺澳大利亚-悉尼 | AS209242
103.160.204.255:443#🇦🇺澳大利亚-悉尼 | AS209242
103.169.142.0:443#🇦🇺澳大利亚-悉尼 | AS209242
103.169.142.255:443#🇦🇺澳大利亚-悉尼 | AS209242
147.78.140.255:443#🇧🇬保加利亚-索非亚 | AS209242
147.78.140.0:443#🇧🇬保加利亚-索非亚 | AS209242
154.92.9.0:443#🇨🇾塞浦路斯-尼科西亚 | AS209242
154.92.9.255:443#🇨🇾塞浦路斯-尼科西亚 | AS209242
154.197.108.0:443#🇨🇿捷克-布拉格 | AS209242
154.197.108.255:443#🇨🇿捷克-布拉格 | AS209242
104.239.72.0:443#🇩🇪德国-柏林 | AS209242
104.239.72.255:443#🇩🇪德国-柏林 | AS209242
45.80.110.0:443#🇩🇪德国-法兰克福 | AS209242
45.80.110.255:443#🇩🇪德国-法兰克福 | AS209242
102.177.189.0:443#🇬🇧英国-伦敦 | AS209242
102.177.189.255:443#🇬🇧英国-伦敦 | AS209242
154.197.80.0:443#🇬🇧英国-伦敦 | AS209242
154.197.80.255:443#🇬🇧英国-伦敦 | AS209242
154.197.121.0:443#🇬🇧英国-伦敦 | AS209242
154.197.121.255:443#🇬🇧英国-伦敦 | AS209242
13.38.105.183:8443#🇫🇷法国-巴黎 | AS16509
15.188.202.197:2083#🇫🇷法国-巴黎 | AS16509
194.24.161.146:4090#🇫🇷法国-巴黎 | AS49434
193.176.179.213:2053#🇫🇷法国-巴黎 | AS56971
38.180.62.108:22053#🇫🇷法国-巴黎 | AS9009
185.204.109.190:8443#🇳🇱荷兰-阿姆斯特丹 | AS204601
80.89.229.119:2053#🇳🇱荷兰-阿姆斯特丹 | AS204601
45.134.21.8:2053#🇳🇱荷兰-阿姆斯特丹 | AS210636
5.35.36.20:2053#🇳🇱荷兰-阿姆斯特丹 | AS216071
5.35.68.249:2053#🇳🇱荷兰-阿姆斯特丹 | AS216071
89.248.207.37:443#🇷🇺俄罗斯-圣彼得堡 | AS49505
45.67.215.57:443#🇷🇺俄罗斯-莫斯科 | AS201839
45.67.215.113:443#🇷🇺俄罗斯-莫斯科 | AS201839
